name, product,
B504-GJ-22 头戴式耳机, NT$190
火山岩石板烤肉炉, NT$1,300
iPad6 128G WiFi silver 银, NT$6,000
瑜珈轮+竹制瑜珈砖合卖, NT$1,000
Foldable bike, NT$2,000
E-Books E-PCE040 读卡机, NT$150
iPad mini6 64G New battery! 全新电池, NT$13,000
VANKYO MatrixPad S21 10 inch Octa-Core Tablet Android 9.0 Pie, NT$4,409
SAMSUNG 三星 Galaxy Tab A7 3G/32G 10.4吋 平板 (Wi-F
i/T500) 银色, NT$4,500
🇩🇰丹麦带回iPad 保护袋, NT$500
IPAD 9th 银色 64G WIFI版 拆封, NT$9,500
光盘片 台北的老人义工们, NT$100
panasonic folding bicycle, NT$1,200
iPad pro 10.5 A1701 wifi 256G 玫瑰金 指纹辨识 86% 台湾公司货 电子书 游戏机 可面交 二手 平板 现货, NT$8,500
iPad Pro 10.5吋 64G 太空灰, NT$6,300
Acer Laconia one 10 B3-A40, NT$1,800
全新苹果铅笔Apple Pencil 二代, NT$4,000
【营君子CampHolik】骆驼 魔幻城堡 速搭账 印第安账  露营必备, NT$3,500
sansung tab A 8 黑 （仅拆封）, NT$5,200
iPad Pro 11吋 四代M2芯片 128g LET 5G移动网络版、太空灰。（全新32,900）, NT$25,000
I Pad9 64G wifi 灰色, NT$8,800
Apple Ipad Air 16G 当wifi版 银色 9.7吋, NT$1,800
蛇板 铝合金 滑板 轻量 二手良品, NT$500
Uniscope平板  S6Plus零件机, NT$190
Samsung SM-T385, NT$600
巨匠电脑课程绝版合璧卡, NT$600
Google & ASUS Nexus 7 (2代) 7吋 IPS屏幕平板 32G (黑) 支援无线充电功能【二手出清】, NT$1,650
户外野餐垫, NT$400
ASUS ZenPad 8.0 Z380KL 16GB 功能正常 当零件机卖, NT$500
Kinesio® Tex Gold FP　肌能系指纹款贴佈/肌贴/肌内效贴佈/肌效能贴佈, NT$230
Apple 第十代 iPad 10.9吋 64G 蓝色, NT$12,857
PG-0394 自行车灯 14模式炫彩尾灯 七彩灯 自行车后灯 脚踏车后灯 自行车尾灯 脚踏车尾灯 警示灯, NT$199
🔹M2芯片【Apple 苹果】🍎2022 iPad Pro 四代平板电脑(11吋/WiFi/256G) 🍎黑色🔋100%苹果原厂保固2024/5/30, NT$25,900
ALLDOCUBE  M8 4G SIM LTE dual card international version full blood MediaTek 6797 ten-core processor built-in Google play Supports multiple languages, global and international versions 酷比魔方M8 4G LTE双插卡 国际版满血联发科6797十核心处理器内建Google play, NT$4,200
ABBA 乐团“MAMA MIA 音乐剧” CD, NT$150
Acer Iconia One 10 B3-A40 FHD 2G/32G 黑色 10吋 二手平板电脑 (二手机), NT$2,060
稳定性高/企业学校常用品牌/联想I5携带方便文书机, NT$4,999
保固内Apple IPad 9 苹果平板 2021 10.2吋(air3 4 5 6 mini Tab ipad), NT$8,200
统一狮加油棒, NT$55
Hyread Gaze 7.8 一代 保护套 电子书阅读器 保护套, NT$100
复古脚踏车自行车, NT$3,900
KOLOS 3D BOOKMARKS 书签, NT$300
无线后尾灯从super fast购入, NT$2,000
HiGold棒球手套, NT$1,500
[309] [售]SAMSUNG J7智能手机  [价格]1800 [物品状况]2手       [交易方式]面交自取/7-11或全家取货付款  [交易地点]台南市东区       [备注]无盒装, NT$800
E-MORE 工程计算机, NT$150
Air4 64g, NT$12,000
ipad mini 16gb Wifi, NT$1,599
Acer Iconia One, NT$1,899
S8 plus, NT$3,500
迪卡侬 B'Twin Rockrider520山地车, NT$5,000
日本HONDA EU 10i超静音发电机, NT$18,000
三星 SAMSUNG Tab A7 10.4吋平板电脑 T505 只有测试可开机 品相如图 零件机 状况: 破屏 画面显示异常, NT$1,190
你的不快乐是花了太多时间在乎不在乎你的人和事｜电子书, NT$185
BENTEN T10 10吋可通话平板, NT$3,990
折叠脚踏车, NT$1,800
辉叶筋膜枪, NT$3,800
迪卡侬-防爆健身瑜珈抗力球+打气筒, NT$400
20吋 折叠脚踏车 21段变速  406轮组  不议价送前后车灯, NT$1,500
美国乔戈里峰 Charm Pro 阳光男孩直排轮学龄前的儿童4岁至8岁, NT$1,940
瑜伽球, NT$199
20吋轮圈变速折叠脚踏车, NT$1,600
Samsung Galaxy Tab E 8.0 4G+Wifi T3777 八吋大屏幕平板电脑便宜卖, NT$1,200
博阅likebook mars 7.8吋, NT$4,000
ipad 8 32g ios15.7 apple pencil 1 smart keyboard, NT$8,500
全新两用跳绳, NT$300
Lazy readers懒人眼镜, NT$250
平板保护套, NT$100
marisol, NT$750
Boox lumi 13吋阅读器 64gb, NT$17,000
LakersXSpacejam, NT$1,480
爱国者（aigo）数码相框DPF101 10.1英寸高清电子相册智能家居可遥控支持音乐视频白色, NT$999
海信（Hisense）TOUCH Lite 墨水屏电子书 音乐阅读器5.84英寸 水墨屏电纸书 轻巧便携, NT$4,700
Step dragon 20吋 铝合金折叠车, NT$5,000
Apple air 5, NT$1
ipad air3 applepencil 聪颖键盘 二手九成新, NT$10,000
拍打按摩器, NT$45
